"No.",""Radio ID",""Callsign",""Name",""City",""State",""Country",""Remarks",""Call Type",""Call Alert"
"400001","1000000","LIMON","","","","QRA","","",""
"400002","1000001","REPSVR","","","","QRA","","",""
"400003","1010001","PARKER","","","","QRA","","",""
"400004","1100011","ZELENYI","","","","QRA","","",""
"400005","1100777","DISTAR","","","","QRA","","",""
"400006","1122999","DVS","","","","QRA","","",""
"400007","1128888","DMRFRN","","","","QRA","","",""
"400008","1500636","GRIZLY","","","","QRA","","",""
"400009","1506888","ICEMAN","","","","QRA","","",""
"400010","1610161","ENOT61","","","","QRA","","",""
"400011","1630001","QRAMSK","","","","QRA","","",""
"400012","1632101","HAKER","","","","QRA","","",""
"400013","1632102","DOBRYNI","","","","QRA","","",""
"400014","1632203","MOLCHUN","","","","QRA","","",""
"400015","1632401","CHAK","","","","QRA","","",""
"400016","1634001","SAMARA","","","","QRA","","",""
"400017","1860757","CICADA","","","","QRA","","",""
"400018","1960001","VYMPEL","","","","QRA","","",""
"400019","2120212","QRA212","","","","QRA","","",""
"400020","2150215","ARCTIC","","","","QRA","","",""
"400021","2200022","BALON","","","","QRA","","",""
"400022","2300341","SMERCH","","","","QRA","","",""
"400023","2470024","TUSHKAN","","","","QRA","","",""
"400024","2500108","DALLAS","","","","QRA","","",""
"400025","2500225","CALVIN","","","","QRA","","",""
"400026","2500252","BARS","","","","QRA","","",""
"400027","2500274","RU177","","","","QRA","","",""
"400028","2500312","TEXNIK","","","","QRA","","",""
"400029","2500318","VOLT","","","","QRA","","",""
"400030","2500325","AVIATOR","","","","QRA","","",""
"400031","2500334","STALKER","","","","QRA","","",""
"400032","2500411","VARLA","","","","QRA","","",""
"400033","2500449","KOSMOS","","","","QRA","","",""
"400034","2500450","KASSIR","","","","QRA","","",""
"400035","2500502","BORISYC","","","","QRA","","",""
"400036","2500542","RAZRYAD","","","","QRA","","",""
"400037","2500590","WISKI","","","","QRA","","",""
"400038","2500610","ONTONIO","","","","QRA","","",""
"400039","2500617","MACLEOD","","","","QRA","","",""
"400040","2500620","ILNUR","","","","QRA","","",""
"400041","2500621","QRA058","","","","QRA","","",""
"400042","2500632","SHRAM","","","","QRA","","",""
"400043","2500643","CARBINE","","","","QRA","","",""
"400044","2500647","LAKE","","","","QRA","","",""
"400045","2500675","MEDVED","","","","QRA","","",""
"400046","2500685","INGODA","","","","QRA","","",""
"400047","2500690","VISITOR","","","","QRA","","",""
"400048","2500707","PRORAB","","","","QRA","","",""
"400049","2500718","215","","","","QRA","","",""
"400050","2500722","MALAMUT","","","","QRA","","",""
"400051","2500728","KAMYSH","","","","QRA","","",""
"400052","2500761","MIX622","","","","QRA","","",""
"400053","2500763","STOODIN","","","","QRA","","",""
"400054","2500782","MALINA","","","","QRA","","",""
"400055","2500786","PAVEL","","","","QRA","","",""
"400056","2500787","BOLHOY","","","","QRA","","",""
"400057","2500789","RECHNIK","","","","QRA","","",""
"400058","2500794","LANCER","","","","QRA","","",""
"400059","2500795","AGAT","","","","QRA","","",""
"400060","2500816","KOTYARA","","","","QRA","","",""
"400061","2500824","RAPTER","","","","QRA","","",""
"400062","2500857","WAVU","","","","QRA","","",""
"400063","2500863","ZHIRAF","","","","QRA","","",""
"400064","2500881","BUMER","","","","QRA","","",""
"400065","2500908","SLON","","","","QRA","","",""
"400066","2500929","CHAK1","","","","QRA","","",""
"400067","2501029","UA1ZBE","","","","QRA","","",""
"400068","2501086","BABILON","","","","QRA","","",""
"400069","2501108","4UVASH","","","","QRA","","",""
"400070","2501122","SP356","","","","QRA","","",""
"400071","2502011","KOTLAS","","","","QRA","","",""
"400072","2502117","VIRUS","","","","QRA","","",""
"400073","2502138","KUBAN","","","","QRA","","",""
"400074","2502143","TAIFUN","","","","QRA","","",""
"400075","2502146","XLORID","","","","QRA","","",""
"400076","2502153","ODMIN","","","","QRA","","",""
"400077","2502188","DIOD","","","","QRA","","",""
"400078","2502208","BELGROD","","","","QRA","","",""
"400079","2502226","PETR59","","","","QRA","","",""
"400080","2503228","KARDAN","","","","QRA","","",""
"400081","2503281","INGENER","","","","QRA","","",""
"400082","2503316","MIXGUIT","","","","QRA","","",""
"400083","2503420","ADVOKAT","","","","QRA","","",""
"400084","2503424","JIPSON","","","","QRA","","",""
"400085","2503436","SOTKA67","","","","QRA","","",""
"400086","2503439","TRAK","","","","QRA","","",""
"400087","2504024","URAL","","","","QRA","","",""
"400088","2504028","SHAPRAN","","","","QRA","","",""
"400089","2504030","BOEC","","","","QRA","","",""
"400090","2504031","ENGENR","","","","QRA","","",""
"400091","2504058","DOCENT","","","","QRA","","",""
"400092","2504072","DOBRYN1","","","","QRA","","",""
"400093","2504074","YANTAR","","","","QRA","","",""
"400094","2504075","START","","","","QRA","","",""
"400095","2504092","CAHEK","","","","QRA","","",""
"400096","2506007","BUSTER","","","","QRA","","",""
"400097","2506015","VDN","","","","QRA","","",""
"400098","2506066","FANTOM","","","","QRA","","",""
"400099","2506076","0888","","","","QRA","","",""
"400100","2506138","TUAPSE","","","","QRA","","",""
"400101","2506185","TAGAN","","","","QRA","","",""
"400102","2507004","BALAMUT","","","","QRA","","",""
"400103","2507027","BALAMYT","","","","QRA","","",""
"400104","2507053","PSTAR","","","","QRA","","",""
"400105","2507060","SEVAS","","","","QRA","","",""
"400106","2507074","BALOMUT","","","","QRA","","",""
"400107","2508128","STRANIK","","","","QRA","","",""
"400108","2509099","KORSAR","","","","QRA","","",""
"400109","2509121","DOMOVOY","","","","QRA","","",""
"400110","2509163","ROSTIK","","","","QRA","","",""
"400111","2509178","ASTRNOM","","","","QRA","","",""
"400112","2570053","AIKOM","","","","QRA","","",""
"400113","2570093","STOPOR","","","","QRA","","",""
"400114","2570148","MASTER","","","","QRA","","",""
"400115","2570162","IMPULS","","","","QRA","","",""
"400116","2600001","JONY","","","","QRA","","",""
"400117","2600002","RADIY","","","","QRA","","",""
"400118","2900555","ODA10","","","","QRA","","",""
"400119","3000987","HANTER","","","","QRA","","",""
"400120","3100001","BELGR0D","","","","QRA","","",""
"400121","3100002","TROYKA","","","","QRA","","",""
"400122","3197441","FLORIDA","","","","QRA","","",""
"400123","3324733","CONDOR","","","","QRA","","",""
"400124","3600971","FRESH","","","","QRA","","",""
"400125","3720001","BALU","","","","QRA","","",""
"400126","3720002","XRADIO","","","","QRA","","",""
"400127","4000001","MOTO","","","","QRA","","",""
"400128","4200042","LYAMKIN","","","","QRA","","",""
"400129","4300001","SHAXTER","","","","QRA","","",""
"400130","4852001","PILOT","","","","QRA","","",""
"400131","5000002","BOTSMAN","","","","QRA","","",""
"400132","5000003","TRESHKN","","","","QRA","","",""
"400133","5000004","GRAF","","","","QRA","","",""
"400134","5000005","TURIST","","","","QRA","","",""
"400135","5000007","RANGER","","","","QRA","","",""
"400136","5000018","GIDRANT","","","","QRA","","",""
"400137","5000097","DIMA97","","","","QRA","","",""
"400138","5000230","MAGNETO","","","","QRA","","",""
"400139","5000261","IKSHA","","","","QRA","","",""
"400140","5000262","SENATOR","","","","QRA","","",""
"400141","5000280","OKROSKA","","","","QRA","","",""
"400142","5000349","KURDEN","","","","QRA","","",""
"400143","5000540","KASPER","","","","QRA","","",""
"400144","5000772","GIHAR","","","","QRA","","",""
"400145","5000941","KIRPICH","","","","QRA","","",""
"400146","5002012","PENZA","","","","QRA","","",""
"400147","5002222","HOKUM","","","","QRA","","",""
"400148","5005522","ZOLOTOY","","","","QRA","","",""
"400149","5500001","DAVID","","","","QRA","","",""
"400150","5500055","ROSTIK","","","","QRA","","",""
"400151","5500099","QASHQAI","","","","QRA","","",""
"400152","5550222","QRAOLD","","","","QRA","","",""
"400153","5566777","TESTCA","","","","QRA","","",""
"400154","5600076","VERESK","","","","QRA","","",""
"400155","5700057","OREL808","","","","QRA","","",""
"400156","5800030","OLIMP","","","","QRA","","",""
"400157","5800077","SMOG158","","","","QRA","","",""
"400158","5900111","TAYGA","","","","QRA","","",""
"400159","5900175","CHERMOZ","","","","QRA","","",""
"400160","5902505","FORWARD","","","","QRA","","",""
"400161","5973005","DSPET4R","","","","QRA","","",""
"400162","5973007","ORBIT","","","","QRA","","",""
"400163","5973008","PARTZAN","","","","QRA","","",""
"400164","5973009","DEVYATK","","","","QRA","","",""
"400165","5973011","CMETAHA","","","","QRA","","",""
"400166","5973013","BOROVIK","","","","QRA","","",""
"400167","5973015","ALUPKA1","","","","QRA","","",""
"400168","5973031","SEDOY","","","","QRA","","",""
"400169","5973058","OBERON","","","","QRA","","",""
"400170","5973062","TAIFUN","","","","QRA","","",""
"400171","5973077","ZAPAD77","","","","QRA","","",""
"400172","5973162","SQUID","","","","QRA","","",""
"400173","5973188","MIX1888","","","","QRA","","",""
"400174","5973203","ALEX203","","","","QRA","","",""
"400175","5973212","TURBINA","","","","QRA","","",""
"400176","5973213","ACROBAT","","","","QRA","","",""
"400177","5973215","ARCTIC","","","","QRA","","",""
"400178","5973220","ROMA220","","","","QRA","","",""
"400179","5973232","SANICH","","","","QRA","","",""
"400180","5973272","TASKENT","","","","QRA","","",""
"400181","5973415","HOLODOK","","","","QRA","","",""
"400182","5973501","QRA1731","","","","QRA","","",""
"400183","5973515","ASPIRIN","","","","QRA","","",""
