Radio ID,Callsign,Name,Nickname,City,State,Country,Remarks
1000000,LIMON,,,,,,
1000001,REPSVR,,,,,,
1001667,GROM,,,,,,
1010001,PARKER,,,,,,
1100011,ZELENYI,,,,,,
1100777,DISTAR,,,,,,
1122999,DVS,,,,,,
1128888,DMRFRN,,,,,,
1160412,BOB12,,,,,,
1230311,YUG311,,,,,,
1500636,GRIZLY,,,,,,
1506888,ICEMAN,,,,,,
1610161,ENOT61,,,,,,
1630001,QRAMSK,,,,,,
1632101,HAKER,,,,,,
1632102,DOBRYNI,,,,,,
1632103,LEV,,,,,,
1632106,B0EC,,,,,,
1632107,SHAPRA1,,,,,,
1632108,PLUS,,,,,,
1632203,MOLCHUN,,,,,,
1632205,PREZIDE,,,,,,
1632303,KAZAK,,,,,,
1632401,CHAK,,,,,,
1632402,DRON,,,,,,
1634001,SAMARA,,,,,,
1860757,CICADA,,,,,,
1960001,VYMPEL,,,,,,
2043042,QRANUT,,,,,,
2120212,QRA212,,,,,,
2150215,ARCTIC,,,,,,
2200022,BALON,,,,,,
2300341,SMERCH,,,,,,
2382399,GRACH,,,,,,
2403710,LEKAR,,,,,,
2470024,TUSHKAN,,,,,,
2500108,DALLAS,,,,,,
2500211,SAPA,,,,,,
2500225,CALVIN,,,,,,
2500247,SOKOL,,,,,,
2500252,BARS,,,,,,
2500274,RU177,,,,,,
2500312,TEXNIK,,,,,,
2500318,VOLT,,,,,,
2500325,AVIATOR,,,,,,
2500334,STALKER,,,,,,
2500363,LEV1,,,,,,
2500411,VARLA,,,,,,
2500417,POLEVIK,,,,,,
2500449,KOSMOS,,,,,,
2500450,KASSIR,,,,,,
2500502,BORISYC,,,,,,
2500514,PESHIY,,,,,,
2500542,RAZRYAD,,,,,,
2500590,WISKI,,,,,,
2500610,ONTONIO,,,,,,
2500617,MACLEOD,,,,,,
2500620,TATARIN,,,,,,
2500621,QRA058,,,,,,
2500632,SHRAM,,,,,,
2500643,CARBINE,,,,,,
2500647,LAKE,,,,,,
2500675,MEDVED,,,,,,
2500685,INGODA,,,,,,
2500690,VISITOR,,,,,,
2500707,PRORAB,,,,,,
2500718,215,,,,,,
2500722,MALAMUT,,,,,,
2500728,KAMYSH,,,,,,
2500761,MIX622,,,,,,
2500763,STOODIN,,,,,,
2500776,HERTZ,,,,,,
2500780,MAX03,,,,,,
2500782,MALINA,,,,,,
2500786,PAVEL,,,,,,
2500787,BOLHOY,,,,,,
2500789,RECHNIK,,,,,,
2500790,ALEX,,,,,,
2500794,LANCER,,,,,,
2500795,AGAT,,,,,,
2500816,KOTYARA,,,,,,
2500824,RAPTER,,,,,,
2500857,WAVU,,,,,,
2500859,KUBA,,,,,,
2500863,ZHIRAF,,,,,,
2500865,SKANER,,,,,,
2500881,BUMER,,,,,,
2500893,BOREY,,,,,,
2500908,SLON,,,,,,
2500920,KAZAK1,,,,,,
2500929,CHAK1,,,,,,
2500936,LINUX,,,,,,
2500940,PRMETEY,,,,,,
2500945,DIMGRAD,,,,,,
2500953,JACK,,,,,,
2500991,BAMBUK,,,,,,
2501029,UA1ZBE,,,,,,
2501086,BABILON,,,,,,
2501108,4UVASH,,,,,,
2501122,SP356,,,,,,
2501188,IKSHA,,,,,,
2502011,KOTLAS,,,,,,
2502117,VIRUS,,,,,,
2502138,KUBAN,,,,,,
2502143,TAYFUN,,,,,,
2502146,XLORID,,,,,,
2502153,ODMIN,,,,,,
2502188,DIOD,,,,,,
2502208,BELGROD,,,,,,
2502226,PETR59,,,,,,
2503228,KARDAN,,,,,,
2503281,INGENER,,,,,,
2503315,TEPLAK,,,,,,
2503316,MIXGUIT,,,,,,
2503420,ADVOKAT,,,,,,
2503424,JIPSON,,,,,,
2503436,SOTKA67,,,,,,
2503439,TRAK,,,,,,
2504024,URAL,,,,,,
2504028,SHAPRAN,,,,,,
2504030,BOEC,,,,,,
2504031,ENGENR,,,,,,
2504036,POLIGON,,,,,,
2504037,PLUS1,,,,,,
2504056,PREZID1,,,,,,
2504058,DOCENT,,,,,,
2504059,SOVETSK,,,,,,
2504072,DOBRYN1,,,,,,
2504074,YANTAR,,,,,,
2504075,START,,,,,,
2504092,CAHEK,,,,,,
2506007,BUSTER,,,,,,
